year,ALL Papers,Computer Forensics,Software Forensics,Knowledge Systematization,Network Forensics,Device Forensics,IoT Forensics
2002,7,2,0,3,1,0,0
2003,2,0,0,0,1,0,0
2004,8,1,0,6,0,0,0
2005,12,6,2,3,1,0,0
2006,15,9,0,5,0,0,0
2007,15,7,5,2,1,0,0
2008,17,9,2,1,3,1,0
2009,15,12,1,2,0,0,0
2010,16,10,1,1,2,2,0
2011,14,9,2,0,2,1,0
2012,14,9,3,0,1,1,0
2013,13,6,2,0,1,3,0
2014,28,12,2,3,3,3,1
2015,28,7,4,3,8,4,1
2016,29,14,3,5,3,2,0
2017,26,11,1,3,5,1,2
2018,29,10,5,3,3,5,1
2019,29,11,5,1,0,3,4
2020,26,11,0,2,3,2,6
2021,38,8,9,4,4,4,5
2022,37,12,5,4,3,1,3
2023,39,14,3,3,4,5,3
2024,41,14,2,3,1,8,3
2025,46,13,5,3,2,4,3
