source,target,relationship,weight
Golden G. Richard III,Vassil Roussev,COAUTHORED_WITH,6
Felix C. Freiling,Harald Baier,COAUTHORED_WITH,1
Andrew Case,Golden G. Richard III,COAUTHORED_WITH,13
Andrew Case,Ibrahim Baggili,COAUTHORED_WITH,1
Golden G. Richard III,Ibrahim Baggili,COAUTHORED_WITH,2
Frank Breitinger,Ibrahim Baggili,COAUTHORED_WITH,9
Frank Breitinger,Vassil Roussev,COAUTHORED_WITH,1
Felix C. Freiling,Frank Breitinger,COAUTHORED_WITH,1
Frank Breitinger,Mark Scanlon,COAUTHORED_WITH,3
Andrew Case,Vassil Roussev,COAUTHORED_WITH,1
Frank Breitinger,Harald Baier,COAUTHORED_WITH,4
